iso3,age,subject,value,year,subject_label
ISL,Y10,MATH,14.28503,2023,Mathematics
GRC,Y6,READ,30.0,2023,"Reading, writing and literature"
ROU,Y14,READ,13.33333,2023,"Reading, writing and literature"
IRL,Y7,NSCI,4.0,2023,Natural sciences
ISR,Y14,SLAN,11.11111,2023,Second language
ESP,Y8,MATH,18.7317,2023,Mathematics
SVK,Y7,PHED,8.69565,2023,Physical education and health
TUR,Y17,ARTS,4.69072,2023,Arts
BFR,Y15,PHED,7.14286,2023,Physical education and health
CHL,Y14,NSCI,14.55848,2023,Natural sciences
DNK,Y8,ARTS,13.18681,2023,Arts
OECD,Y10,SLAN,10.51392,2023,Second language
HUN,Y15,NSCI,20.58824,2023,Natural sciences
ESP,Y12,SLAN,11.40164,2023,Second language
BGR,Y12,SLAN,9.37478,2023,Second language
CRI,Y6,NSCI,13.95349,2023,Natural sciences
FRA,Y13,SSCI,11.15702,2023,Social sciences
CRI,Y11,SSCI,9.30233,2023,Social sciences
EST,Y10,SSCI,7.22892,2023,Social sciences
SVK,Y14,READ,16.66667,2023,"Reading, writing and literature"
ROU,Y14,MATH,13.33333,2023,Mathematics
JPN,Y6,PHED,11.11353,2023,Physical education and health
NOR,Y15,ARTS,8.73379,2023,Arts
DNK,Y15,SSCI,10.0,2023,Social sciences
EU25,Y11,NSCI,8.51913,2023,Natural sciences
FIN,Y14,NSCI,16.47059,2023,Natural sciences
HRV,Y7,READ,27.77778,2023,"Reading, writing and literature"
GRC,Y6,MATH,16.66667,2023,Mathematics
AUT,Y10,MATH,13.7931,2023,Mathematics
HUN,Y8,MATH,16.66667,2023,Mathematics
JPN,Y14,SLAN,13.11475,2023,Second language
CRI,Y6,SLAN,11.62791,2023,Second language
CRI,Y8,MATH,18.60465,2023,Mathematics
TUR,Y12,SSCI,8.54457,2023,Social sciences
FRA,Y11,PHED,15.06276,2023,Physical education and health
FIN,Y12,PHED,8.76623,2023,Physical education and health
CRI,Y12,SLAN,7.14286,2023,Second language
NOR,Y6,READ,29.85068,2023,"Reading, writing and literature"
OECD,Y9,ARTS,11.57049,2023,Arts
ISL,Y13,ARTS,7.65766,2023,Arts
LTU,Y8,ARTS,17.14763,2023,Arts
CHL,Y7,SSCI,8.79874,2023,Social sciences
GRC,Y9,ARTS,10.00383,2023,Arts
JPN,Y12,PHED,9.83607,2023,Physical education and health
LTU,Y12,NSCI,6.66351,2023,Natural sciences
NOR,Y9,ARTS,13.96116,2023,Arts
AUT,Y13,ARTS,9.33329,2023,Arts
GRC,Y12,MATH,12.12121,2023,Mathematics
GRC,Y10,SLAN,9.6846,2023,Second language
SVN,Y7,SSCI,4.96977,2023,Social sciences
OECD,Y13,NSCI,13.27887,2023,Natural sciences
LVA,Y10,MATH,18.82353,2023,Mathematics
ISL,Y10,READ,16.18971,2023,"Reading, writing and literature"
BGR,Y11,SSCI,12.50017,2023,Social sciences
SVN,Y6,PHED,16.77448,2023,Physical education and health
FRA,Y7,SLAN,6.25,2023,Second language
LVA,Y13,ARTS,6.93069,2023,Arts
NOR,Y10,SLAN,10.58917,2023,Second language
CRI,Y8,READ,23.25581,2023,"Reading, writing and literature"
BGR,Y8,ARTS,15.21673,2023,Arts
NOR,Y12,MATH,15.23355,2023,Mathematics
DEU,Y13,MATH,11.7834,2022,Mathematics
NOR,Y6,MATH,17.95529,2023,Mathematics
IRL,Y11,PHED,4.0,2023,Physical education and health
GRC,Y13,SLAN,6.06081,2023,Second language
AUT,Y13,MATH,10.22307,2023,Mathematics
ROU,Y10,PHED,14.28571,2023,Physical education and health
CZE,Y6,NSCI,11.00917,2023,Natural sciences
HRV,Y13,PHED,7.69231,2023,Physical education and health
AUT,Y10,READ,13.7931,2023,"Reading, writing and literature"
GRC,Y12,READ,27.27273,2023,"Reading, writing and literature"
CZE,Y12,NSCI,17.21311,2023,Natural sciences
CRI,Y12,NSCI,11.90476,2023,Natural sciences
LVA,Y13,MATH,14.85149,2023,Mathematics
PRT,Y15,PHED,9.80392,2023,Physical education and health
LTU,Y11,SSCI,8.67283,2023,Social sciences
LVA,Y10,READ,21.17647,2023,"Reading, writing and literature"
SVN,Y14,SLAN,9.88671,2023,Second language
BFR,Y9,PHED,7.14286,2023,Physical education and health
BGR,Y8,MATH,15.21673,2023,Mathematics
NOR,Y15,READ,15.17925,2023,"Reading, writing and literature"
EST,Y9,PHED,11.76471,2023,Physical education and health
HRV,Y8,SLAN,11.11111,2023,Second language
CHL,Y13,MATH,16.04092,2023,Mathematics
EU25,Y11,SLAN,11.66405,2023,Second language
SVK,Y14,ARTS,3.33333,2023,Arts
TUR,Y8,PHED,16.66667,2023,Physical education and health
HRV,Y7,ARTS,11.11111,2023,Arts
OECD,Y9,MATH,16.29326,2023,Mathematics
CZE,Y11,SSCI,9.01639,2023,Social sciences
OECD,Y12,READ,16.01241,2023,"Reading, writing and literature"
SVN,Y12,PHED,9.15657,2023,Physical education and health
BGR,Y12,NSCI,7.81278,2023,Natural sciences
ISR,Y14,NSCI,12.96296,2023,Natural sciences
LVA,Y14,SSCI,14.85149,2023,Social sciences
SVN,Y14,NSCI,21.31823,2023,Natural sciences
TUR,Y11,MATH,14.23285,2023,Mathematics
ESP,Y12,NSCI,9.79265,2023,Natural sciences
POL,Y10,SSCI,4.16667,2023,Social sciences
CZE,Y12,SLAN,9.83607,2023,Second language
ROU,Y12,OLAN,7.40741,2023,Other languages
ROU,Y8,NSCI,5.0,2023,Natural sciences
NOR,Y6,ARTS,13.96116,2023,Arts
LUX,Y12,SSCI,13.33333,2023,Social sciences
DNK,Y11,SSCI,5.35714,2023,Social sciences
GRC,Y13,NSCI,18.18244,2023,Natural sciences
NOR,Y9,READ,29.85068,2023,"Reading, writing and literature"
ISL,Y14,SSCI,8.10811,2023,Social sciences
LTU,Y9,SSCI,4.1038,2023,Social sciences
CHL,Y16,MATH,7.29316,2023,Mathematics
NOR,Y10,NSCI,8.31343,2023,Natural sciences
DNK,Y12,NSCI,5.35714,2023,Natural sciences
DNK,Y9,SSCI,3.2967,2023,Social sciences
CRI,Y8,ARTS,4.65116,2023,Arts
FIN,Y16,READ,8.0,2023,"Reading, writing and literature"
OECD,Y13,SLAN,9.46506,2023,Second language
LTU,Y12,SLAN,9.99527,2023,Second language
LTU,Y8,MATH,19.29109,2023,Mathematics
FIN,Y14,SLAN,8.23529,2023,Second language
PRT,Y12,PHED,10.0,2023,Physical education and health
ISL,Y14,NSCI,8.10811,2023,Natural sciences
ROU,Y8,SLAN,5.0,2023,Second language
LTU,Y9,NSCI,4.1038,2023,Natural sciences
GRC,Y9,MATH,13.33844,2023,Mathematics
IRL,Y12,READ,8.60585,2023,"Reading, writing and literature"
NOR,Y11,ARTS,15.1672,2023,Arts
CRI,Y15,SSCI,15.90909,2023,Social sciences
CHL,Y10,MATH,16.19706,2023,Mathematics
LVA,Y10,ARTS,11.76471,2023,Arts
TUR,Y14,OLAN,5.0,2023,Other languages
AUT,Y10,ARTS,13.7931,2023,Arts
EU25,Y9,SLAN,9.03138,2023,Second language
NOR,Y7,SLAN,4.4247,2023,Second language
ISR,Y7,NSCI,8.45355,2023,Natural sciences
LTU,Y16,OLAN,5.75389,2023,Other languages
JPN,Y9,PHED,9.59781,2023,Physical education and health
OECD,Y14,OLAN,5.45236,2023,Other languages
BFR,Y11,PHED,7.14286,2023,Physical education and health
IRL,Y9,ARTS,12.0,2023,Arts
FRA,Y12,READ,16.94561,2023,"Reading, writing and literature"
BGR,Y9,NSCI,3.70319,2023,Natural sciences
SVN,Y13,MATH,13.26989,2023,Mathematics
ISL,Y7,MATH,16.66736,2023,Mathematics
TUR,Y11,READ,17.07942,2023,"Reading, writing and literature"
LTU,Y15,SSCI,16.50421,2023,Social sciences
LUX,Y11,READ,25.0,2023,"Reading, writing and literature"
DEU,Y10,READ,15.29596,2022,"Reading, writing and literature"
BFR,Y13,SSCI,13.33333,2023,Social sciences
IRL,Y10,SLAN,14.0,2023,Second language
IRL,Y12,MATH,8.60585,2023,Mathematics
DNK,Y8,MATH,16.48352,2023,Mathematics
FRA,Y12,MATH,13.17992,2023,Mathematics
JPN,Y10,SSCI,9.14077,2023,Social sciences
OECD,Y15,READ,12.46095,2023,"Reading, writing and literature"
NOR,Y13,SLAN,8.46682,2023,Second language
EU25,Y15,NSCI,14.28131,2023,Natural sciences
CHL,Y16,ARTS,1.21553,2023,Arts
BGR,Y15,SSCI,15.875,2023,Social sciences
DEU,Y10,MATH,14.31262,2022,Mathematics
NOR,Y12,ARTS,15.1672,2023,Arts
ROU,Y17,SLAN,7.14286,2023,Second language
HUN,Y8,ARTS,16.66667,2023,Arts
KOR,Y14,MATH,11.11111,2023,Mathematics
DNK,Y13,OLAN,7.5,2023,Other languages
KOR,Y10,ARTS,12.5,2023,Arts
HRV,Y10,READ,27.77778,2023,"Reading, writing and literature"
BGR,Y15,SLAN,12.5,2023,Second language
GRC,Y14,OLAN,5.88235,2023,Other languages
OECD,Y11,ARTS,9.37312,2023,Arts
LUX,Y15,SSCI,13.33333,2023,Social sciences
CRI,Y9,NSCI,13.95349,2023,Natural sciences
EU25,Y7,PHED,10.3309,2023,Physical education and health
OECD,Y7,SLAN,4.03585,2023,Second language
POL,Y13,MATH,12.39062,2023,Mathematics
HUN,Y12,NSCI,13.33333,2023,Natural sciences
PRT,Y13,MATH,13.32,2023,Mathematics
